cat,Acc-Top1,Acc-Top3,Acc-Top5,MRR@5
var,0.7700440528634361,0.8555066079295154,0.8775330396475771,0.8154772393538917
arg,0.7485907553551296,0.8410372040586246,0.8613303269447576,0.7952461480646378
ret,0.8429319371727748,0.9162303664921466,0.9214659685863874,0.8777050610820244
ele,0.7859888936351986,0.8722768047842803,0.8906450234942332,0.8303004414068063
usr,0.31746031746031744,0.3968253968253968,0.42857142857142855,0.3571428571428571
all,0.7737104825291181,0.8598169717138103,0.8785357737104825,0.8179007210205214
