cat,Acc-Top1,Acc-Top3,Acc-Top5,MRR@5
var,0.7579200349573957,0.8597334498579856,0.8796154686475858,0.8085864103124383
arg,0.6956755511175974,0.7900760427068131,0.8109685843766803,0.7429743707914102
ret,0.8554870530209617,0.8971639950678175,0.9129469790382244,0.8776161117961367
ele,0.7600820692206788,0.8510309104974606,0.8704046281658875,0.8055553686948448
usr,0.31191806331471134,0.39757914338919925,0.42830540037243947,0.35777467411545605
all,0.7444570686576855,0.8352215549423795,0.8549910728777795,0.7899437320781172
