cat,Acc-Top1,Acc-Top3,Acc-Top5,MRR@5
var,0.7534775325904887,0.857839924258976,0.8760469011725294,0.8046585584929542
arg,0.6929103617789385,0.7870036101083032,0.8059758814041017,0.7397278336789848
ret,0.8515413070283601,0.8954377311960543,0.9104808877928483,0.8743567612001647
ele,0.756314957451818,0.8487773704214456,0.8668056910295651,0.8020713508907573
usr,0.31098696461824954,0.3919925512104283,0.41247672253258844,0.3523432650527621
all,0.7407888329816589,0.832851809771141,0.8509657523129363,0.7863918195098119
