cat,Acc-Top1,Acc-Top3,Acc-Top5,MRR@5
var,0.6969162995594713,0.7744493392070485,0.7929515418502202,0.7378414096916301
arg,0.6944757609921083,0.7756482525366404,0.7970687711386697,0.7367718902668172
ret,0.819371727748691,0.8900523560209425,0.8926701570680629,0.8523123909249564
ele,0.7261853908586074,0.803929944468176,0.8205894916702264,0.7663605296881675
usr,0.31746031746031744,0.3968253968253968,0.42857142857142855,0.3571428571428571
all,0.7154742096505824,0.793261231281198,0.8103161397670549,0.7556364392678867
