cat,Acc-Top1,Acc-Top3,Acc-Top5,MRR@5
var,0.8517046911048449,0.8914380927967188,0.9060497308382466,0.8732226779458249
arg,0.6350815337152931,0.7338034376377258,0.75716174526223,0.6850154252974879
ret,0.6544885177453027,0.7181628392484343,0.7390396659707724,0.6885699373695199
ele,0.8977832512315271,0.9336734693877551,0.9429978888106967,0.9161711236218618
gen,0.6859903381642513,0.7524154589371981,0.7771739130434783,0.7219253220611915
usr,0.6581406787998032,0.7422528283325135,0.7678307919331038,0.7025577963600592
all,0.7900081603046514,0.8439568410553994,0.8609121407199202,0.8184634448574964
