cat,Acc-Top1,Acc-Top3,Acc-Top5,MRR@5
var,0.9150217892847987,0.946167649320687,0.9569341194565496,0.9314192941980681
arg,0.7086822388717496,0.7955046275892463,0.8228294402820626,0.7543484648156309
ret,0.7546972860125261,0.8256784968684759,0.848643006263048,0.7925539318023663
ele,0.9171358198451794,0.9530260380014075,0.9637579169598874,0.9354797091250286
gen,0.8795289855072463,0.9169685990338164,0.9302536231884058,0.8998339371980676
usr,0.661091982292179,0.749631087063453,0.780619773733399,0.7084604033448109
all,0.8586453894278719,0.9047057756822922,0.9199383443648563,0.8829283404358208
