cat,Acc-Top1,Acc-Top3,Acc-Top5,MRR@5
var,0.8524737246859779,0.8968213278646501,0.9107921045885671,0.8757839870118759
arg,0.6474217717055972,0.742177170559718,0.7628911414720141,0.6951300132216833
ret,0.6294363256784968,0.6993736951983298,0.7265135699373695,0.6684933890048713
ele,0.8914496833216045,0.9269880365939479,0.9387755102040817,0.9102861834388921
gen,0.688707729468599,0.7669082125603864,0.7901570048309179,0.7296698872785831
usr,0.676340383669454,0.7584849975405804,0.7771765863256271,0.7180521396950316
all,0.7909148608214707,0.8478556532777224,0.8643576026838335,0.8206123250823584
