cat,Acc-Top1,Acc-Top3,Acc-Top5,MRR@5
var,0.914380927967188,0.945398615739554,0.9564214304024609,0.930767751858497
arg,0.7289554869986778,0.8188629352137505,0.8422212428382547,0.7748200381959746
ret,0.7056367432150313,0.7828810020876826,0.8058455114822547,0.7462073764787753
ele,0.9116819141449684,0.9445812807881774,0.958128078817734,0.9295390570021103
gen,0.8753019323671497,0.9233091787439613,0.9353864734299517,0.8995621980676328
usr,0.6802754549926218,0.76586325627152,0.7875061485489424,0.7240203312018361
all,0.8581013691177803,0.9052497959923838,0.9198476743131744,0.88265330794572
