cat,Acc-Top1,Acc-Top3,Acc-Top5,MRR@5
var,0.9030923344947736,0.938588850174216,0.9446864111498258,0.9209785133565621
arg,0.7472642001042209,0.8457529963522668,0.8582595101615424,0.7959788084071562
ret,0.8058103975535168,0.8486238532110092,0.8516819571865444,0.8268858307849133
ele,0.9040767386091128,0.9547029043431922,0.9613642419397815,0.9298072652988719
gen,0.8639359698681732,0.9129001883239172,0.9232580037664784,0.8885828625235404
usr,0.6832298136645962,0.75,0.7554347826086957,0.7146609730848864
all,0.8524773203070481,0.9055129099790649,0.913049546406141,0.8789113747383103
