cat,Acc-Top1,Acc-Top3,Acc-Top5,MRR@5
var,0.822081881533101,0.8549651567944251,0.859102787456446,0.8382113821138213
arg,0.6732673267326733,0.7733194372068786,0.7826993225638353,0.7220601007469166
ret,0.6070336391437309,0.6452599388379205,0.6513761467889908,0.6257390417940876
ele,0.8665067945643485,0.9203304023447908,0.9275246469491074,0.8937028155253574
gen,0.635593220338983,0.6751412429378532,0.67984934086629,0.6543863779033271
usr,0.6692546583850931,0.7329192546583851,0.7360248447204969,0.6987189440993791
all,0.762595952547104,0.813956734124215,0.8196789951151431,0.7877087694812744
