cat,Acc-Top1,Acc-Top3,Acc-Top5,MRR@5
var,0.9354005167958657,0.9560723514211886,0.9567901234567902,0.9453990812517943
arg,0.8805506216696269,0.9174067495559503,0.9214031971580817,0.8983644168146833
ret,0.9123173277661796,0.9405010438413361,0.941544885177453,0.924756437021573
ele,0.9345883247765735,0.9518919946757939,0.9522722951131394,0.9428503517779047
gen,0.9250749250749251,0.9500499500499501,0.951048951048951,0.936929736929737
usr,0.877742946708464,0.9237199582027168,0.928944618599791,0.9000174155346568
all,0.9210888364779874,0.9460495283018868,0.9475235849056604,0.9330467112159325
