cat,Acc-Top1,Acc-Top3,Acc-Top5,MRR@5
var,0.8946310651737008,0.9292276772896928,0.9309503301751364,0.911278591252751
arg,0.872113676731794,0.9125222024866785,0.9174067495559503,0.8915334517465955
ret,0.8893528183716075,0.9164926931106472,0.918580375782881,0.9018267223382047
ele,0.9302148697471002,0.9484692907396843,0.9488495911770298,0.9389205805920011
gen,0.8261738261738262,0.8837828837828838,0.8874458874458875,0.8536297036297039
usr,0.8751306165099269,0.9216300940438872,0.9278996865203761,0.8978143504005572
all,0.8891509433962265,0.9243317610062893,0.9267885220125787,0.9060190644654086
