cat,Acc-Top1,Acc-Top3,Acc-Top5,MRR@5
var,0.762114537444934,0.8678414096916299,0.8916299559471366,0.817019089574156
arg,0.7722660653889515,0.8556933483652762,0.8680947012401353,0.8153701615933858
ret,0.8403141361256544,0.9267015706806283,0.9345549738219895,0.8831588132635252
ele,0.7902605724049552,0.8863733447244767,0.9038872276804785,0.8397764488110492
usr,0.3333333333333333,0.36507936507936506,0.36507936507936506,0.3492063492063492
all,0.7782861896838602,0.872712146422629,0.8897670549084858,0.8269204104270658
