cat,Acc-Top1,Acc-Top3,Acc-Top5,MRR@5
var,0.9106639323250448,0.9530889515508844,0.9670597282748014,0.9334081004870538
arg,0.6994270603790216,0.8276773909211106,0.8576465403261349,0.7646393418539732
ret,0.7766179540709812,0.8517745302713987,0.8695198329853863,0.8135003479471121
ele,0.9171358198451794,0.967100633356791,0.9788881069669247,0.9429128547970907
gen,0.8825483091787439,0.9308574879227053,0.9507850241545893,0.9090529388083739
usr,0.6394490900147565,0.7624200688637481,0.7924249877029022,0.7016478111165765
all,0.8555626076706864,0.9184876235379454,0.9360776135642397,0.8882718288149427
