cat,Acc-Top1,Acc-Top3,Acc-Top5,MRR@5
var,0.8527300692130223,0.9139964111766213,0.9287362214816713,0.8842412201999468
arg,0.630233583076245,0.7712648743940062,0.8007933010136624,0.7013956221536644
ret,0.6680584551148225,0.7599164926931107,0.7776617954070981,0.7140396659707724
ele,0.9009500351864884,0.9505629838142153,0.9609429978888107,0.9264661036828519
gen,0.6980676328502415,0.8076690821256038,0.8348429951690821,0.7541264090177145
usr,0.6345302508607968,0.7530742744712248,0.7776684702410231,0.6938842433185768
all,0.7909148608214707,0.8712485266116602,0.8892918668963641,0.8318402998156376
