cat,Acc-Top1,Acc-Top3,Acc-Top5,MRR@5
var,0.7791129560847717,0.8676716917922948,0.8888646129196708,0.8240137887505203
arg,0.6867654965819188,0.7915354481911053,0.8173438820185882,0.7401362111785359
ret,0.8579531442663378,0.9040690505548705,0.9200986436498151,0.8820961775585701
ele,0.7660690861390468,0.8556388954290135,0.8773334230264707,0.8115928380029773
usr,0.31843575418994413,0.41527001862197394,0.4590316573556797,0.3703910614525137
all,0.7504625872423308,0.8402856679110534,0.862749553643889,0.7962105718768546
