cat,Acc-Top1,Acc-Top3,Acc-Top5,MRR@5
var,0.7781661932852669,0.8648314033937805,0.8855873570752312,0.8222222222222264
arg,0.6840771180582226,0.7877717182579307,0.8119671249711959,0.7365926722482548
ret,0.8557336621454994,0.9033292231812577,0.9186189889025894,0.880304151253597
ele,0.7642191651811241,0.8528135616023679,0.8736672160371329,0.8091425336068925
usr,0.3165735567970205,0.40875232774674114,0.4478584729981378,0.36559590316573526
all,0.7486122382730076,0.8373316020126603,0.8588216198669048,0.7936785153925177
