cat,Acc-Top1,Acc-Top3,Acc-Top5,MRR@5
var,0.726352217380159,0.8122276339400154,0.8277364778261984,0.7690378535418247
arg,0.6760687527545174,0.7915381225209344,0.8157778757161745,0.7333333333333325
ret,0.6210855949895616,0.7192066805845512,0.7390396659707724,0.6708768267223383
ele,0.842716396903589,0.8898662913441239,0.8979591836734694,0.8659336148252406
gen,0.44806763285024154,0.6240942028985508,0.6630434782608695,0.536876006441223
usr,0.7486473192326611,0.8347270044269552,0.8445646827348746,0.7902443023446463
all,0.706863722912322,0.7998911959379816,0.8175718560159579,0.7531658959712243
