cat,Acc-Top1,Acc-Top3,Acc-Top5,MRR@5
var,0.8552935144834658,0.8995129453986157,0.905537041784158,0.8774950867298975
arg,0.751873071837814,0.8527985896870868,0.8655795504627589,0.8004039958865866
ret,0.7066805845511482,0.8006263048016702,0.8173277661795407,0.7545059151009048
ele,0.8597818437719915,0.9018296973961999,0.9085151301900071,0.8806503635937131
gen,0.7919685990338164,0.8704710144927537,0.8804347826086957,0.8313154186795496
usr,0.7604525332021643,0.8416133792424988,0.8519429414658141,0.7999098212821771
all,0.8211079880315532,0.8813129023483544,0.8896545471030919,0.8509520355426595
