cat,Acc-Top1,Acc-Top3,Acc-Top5,MRR@5
var,0.6475770925110133,0.7462555066079295,0.7647577092511013,0.6975624082232013
arg,0.6764374295377678,0.7531003382187148,0.7722660653889515,0.7166290868094701
ret,0.8429319371727748,0.9083769633507853,0.9240837696335078,0.8769633507853403
ele,0.702263989747971,0.7881247330200769,0.8064929517300299,0.746532820731881
usr,0.20634920634920634,0.2698412698412698,0.2857142857142857,0.23412698412698413
all,0.6892678868552413,0.7745424292845258,0.7928452579034941,0.7331045479755962
