cat,Acc-Top1,Acc-Top3,Acc-Top5,MRR@5
var,0.9142527557036657,0.9409125865162778,0.9465521661112535,0.9274972229342897
arg,0.8267959453503746,0.9308065226972234,0.9475539885412075,0.879050976935507
ret,0.7891440501043842,0.8872651356993737,0.8997912317327766,0.8360821155184419
ele,0.9099225897255454,0.9290992258972555,0.9296270232230823,0.9193496364062866
gen,0.893719806763285,0.9435386473429952,0.9565217391304348,0.9191475442834138
usr,0.8032464338416134,0.9331037875061485,0.9567142154451549,0.8667322511887192
all,0.8853930546740412,0.9341735424789193,0.9426965273370206,0.9095898691328924
