cat,Acc-Top1,Acc-Top3,Acc-Top5,MRR@5
var,0.8565752371186875,0.9116893104332222,0.9197641630351192,0.8833910108519176
arg,0.7602468047598061,0.8937858087263112,0.9144997796386073,0.8272440135154983
ret,0.7056367432150313,0.8121085594989561,0.8329853862212944,0.7578810020876834
ele,0.8970795214637579,0.9232934553131598,0.9241731175228712,0.9100545390570021
gen,0.716183574879227,0.8435990338164251,0.8665458937198067,0.7790207326892107
usr,0.793408755533694,0.9232661091982293,0.9473684210526315,0.8570667322511887
all,0.8236467494786472,0.8993562426330584,0.9111433493517092,0.8609378305678961
