cat,Acc-Top1,Acc-Top3,Acc-Top5,MRR@5
var,0.6933920704845815,0.786784140969163,0.8070484581497798,0.7417767988252573
arg,0.7192784667418264,0.7925591882750845,0.8072153325817362,0.758248778654641
ret,0.8167539267015707,0.900523560209424,0.9083769633507853,0.8582897033158812
ele,0.7330200768902179,0.8188808201623238,0.8355403673643742,0.7775950448526271
usr,0.3333333333333333,0.36507936507936506,0.36507936507936506,0.3492063492063492
all,0.7225457570715474,0.8069883527454242,0.8232113144758736,0.7663685524126455
