cat,Acc-Top1,Acc-Top3,Acc-Top5,MRR@5
var,0.7198237885462555,0.8334801762114538,0.8563876651982378,0.7777679882525701
arg,0.7294250281848929,0.8151071025930101,0.8432919954904171,0.7757797820368283
ret,0.8664921465968587,0.9345549738219895,0.9528795811518325,0.9023560209424083
ele,0.7612131567706109,0.8581802648440837,0.8821016659547202,0.8118681475153068
usr,0.20634920634920634,0.2698412698412698,0.30158730158730157,0.23809523809523808
all,0.7466722129783694,0.8427620632279534,0.8668885191347754,0.7968316694398224
