cat,Acc-Top1,Acc-Top3,Acc-Top5,MRR@5
var,0.7961546864758575,0.8759740732648751,0.892360352487073,0.8367793071638417
arg,0.7065058760273446,0.7949919348644289,0.8138873953452647,0.7514261207978115
ret,0.8466091245376078,0.9053020961775585,0.9230579531442663,0.8773078503904654
ele,0.7785140089468905,0.8591032928593051,0.8762571053782248,0.8195273171661419
usr,0.388268156424581,0.4720670391061452,0.5027932960893855,0.43272811918063286
all,0.7649082941080994,0.845609478980685,0.8632364875831845,0.8060417681112337
