cat,Acc-Top1,Acc-Top3,Acc-Top5,MRR@5
var,0.7950622678610444,0.8716043988056223,0.8862428082441192,0.8338783288422815
arg,0.704585605653276,0.7889238804823719,0.8065903679238037,0.7475126097754596
ret,0.8443896424167694,0.8996300863131936,0.9159062885326757,0.8733045622688047
ele,0.7768995324745216,0.8541589586626753,0.8701691836803337,0.8162333366968227
usr,0.38733705772811916,0.4581005586592179,0.4776536312849162,0.42427063935443804
all,0.7633176432397338,0.8403505924362928,0.856484336958286,0.802567764973215
