cat,Acc-Top1,Acc-Top3,Acc-Top5,MRR@5
var,0.6956144159791576,0.7978723404255319,0.8163265306122449,0.7463815313359392
arg,0.7007142857142857,0.8328571428571429,0.8442857142857143,0.7647500000000003
ret,0.4518664047151277,0.5579567779960707,0.581532416502947,0.5064833005893911
ele,0.8200723327305606,0.9008438818565401,0.9119951778179626,0.8601165360659031
gen,0.5624344176285414,0.7366211962224554,0.7738719832109129,0.6497551591465546
usr,0.4817970565453137,0.5670023237800155,0.570875290472502,0.5220630002581977
all,0.6776669224865695,0.7866462010744436,0.8039907904834996,0.7315860833972878
