cat,Acc-Top1,Acc-Top3,Acc-Top5,MRR@5
var,0.6246200607902735,0.711029092488059,0.729483282674772,0.6678788536691275
arg,0.6814285714285714,0.8114285714285714,0.8178571428571428,0.7432500000000004
ret,0.41846758349705304,0.5108055009823183,0.5343811394891945,0.46728880157170927
ele,0.7992766726943942,0.8851717902350814,0.8975286317058468,0.8420835844886474
gen,0.4197271773347324,0.5445960125918153,0.5760755508919203,0.4822315494928301
usr,0.458559256390395,0.5391169635941131,0.5429899302865996,0.4968887167570359
all,0.6207214121258634,0.7169608595548733,0.733231005372218,0.668403683806601
